TIME	CPU	WCPU	IO	MEM
20181103-142704	  0	  0	         0	11.52
20181103-142709	  0	  0	        11	11.53
20181103-142714	  0	  0	         1	11.60
20181103-142719	  0	  0	         8	11.59
20181103-142724	  0	  0	         0	11.60
20181103-142729	  0	  0	        12	11.60
20181103-142734	  0	  0	         0	11.59
20181103-142739	  0	  0	        18	11.59
20181103-142744	  0	  0	         1	11.60
20181103-142749	  0	  0	         8	11.60
20181103-142754	  0	  0	         0	11.59
20181103-142759	  0	  0	        11	11.60
20181103-142804	  0	  0	         0	11.60
20181103-142809	  0	  0	        10	11.60
20181103-142814	  0	  0	         5	11.60
20181103-142819	  0	  0	         8	11.59
20181103-142824	  0	  0	         0	11.60
20181103-142829	  0	  0	        11	11.60
20181103-142834	  0	  0	         0	11.60
20181103-142839	  0	  0	        16	11.60
20181103-142844	  0	  0	         1	11.60
20181103-142849	  0	  0	         8	11.60
20181103-142854	  0	  0	         0	11.60
20181103-142859	  0	  0	        12	11.60
20181103-142904	  0	  0	         0	11.60
20181103-142909	  0	  0	         9	11.60
20181103-142914	  0	  0	         1	11.60
20181103-142919	  0	  0	         8	11.61
20181103-142924	  0	  0	         0	11.60
20181103-142929	  0	  0	        12	11.60
20181103-142934	  0	  0	         0	11.59
20181103-142939	  0	  0	        13	11.60
20181103-142944	  0	  0	         1	11.60
20181103-142949	  0	  0	         8	11.60
20181103-142954	  0	  0	         0	11.60
20181103-142959	  0	  0	         9	11.59
20181103-143004	  0	  0	         3	11.60
20181103-143009	  0	  0	         9	11.59
20181103-143014	  0	  0	         7	11.60
20181103-143019	  0	  0	         8	11.60
20181103-143024	  0	  0	         0	11.60
20181103-143029	  0	  0	         8	11.60
20181103-143034	  0	  0	         2	11.60
20181103-143039	  0	  0	        12	11.60
20181103-143044	  0	  0	         2	11.60
20181103-143049	  0	  0	         8	11.60
20181103-143054	  0	  0	         0	11.60
20181103-143059	  0	  0	        10	11.60
20181103-143104	  0	  0	         2	11.60
20181103-143109	  0	  0	        17	11.60
20181103-143114	  0	  0	         6	11.60
20181103-143119	  0	  0	         8	11.59
20181103-143124	  0	  0	         0	11.59
20181103-143129	  0	  0	         9	11.59
20181103-143134	  0	  0	         2	11.59
20181103-143139	  0	  0	         9	11.60
20181103-143144	  0	  0	         1	11.59
20181103-143149	  0	  0	         8	11.60
20181103-143154	  0	  0	         0	11.59
20181103-143159	  0	  0	         8	11.60
20181103-143204	  0	  0	         4	11.61
20181103-143209	  0	  0	        15	11.60
20181103-143214	  0	  0	         6	11.60
20181103-143219	  0	  0	         8	11.60
20181103-143224	  0	  0	         0	11.60
20181103-143229	  0	  0	         8	11.60
20181103-143234	  0	  0	         4	11.60
20181103-143239	  0	  0	        12	11.59
20181103-143244	  0	  0	         2	11.59
20181103-143249	  0	  0	         9	11.60
20181103-143254	  0	  0	         0	11.60
20181103-143259	  0	  0	         8	11.60
20181103-143304	  0	  0	         4	11.60
20181103-143309	  0	  0	        14	11.60
20181103-143314	  0	  0	         6	11.60
20181103-143319	  0	  0	         8	11.60
20181103-143324	  0	  0	         0	11.60
20181103-143329	  0	  0	         8	11.60
20181103-143334	  0	  0	         2	11.60
20181103-143339	  0	  0	        11	11.59
20181103-143344	  0	  0	         1	11.60
20181103-143349	  0	  0	         8	11.59
20181103-143354	  0	  0	         0	11.59
20181103-143359	  0	  0	         8	11.59
20181103-143404	  0	  0	         2	11.59
20181103-143409	  0	  0	        14	11.60
20181103-143414	  0	  0	         6	11.60
20181103-143419	  0	  0	         8	11.59
20181103-143424	  0	  0	         0	11.60
20181103-143429	  0	  0	         9	11.60
20181103-143434	  0	  0	         3	11.59
20181103-143439	  0	  0	         9	11.59
20181103-143444	  0	  0	         1	11.60
20181103-143449	  0	  0	         8	11.60
20181103-143454	  0	  0	         0	11.60
20181103-143459	  0	  0	         8	11.60
20181103-143504	  0	  0	         4	11.60
20181103-143509	  0	  0	        16	11.60
20181103-143514	  0	  0	         6	11.60
20181103-143519	  0	  0	         8	11.60
20181103-143524	  0	  0	         0	11.60
20181103-143529	  0	  0	         8	11.59
20181103-143534	  0	  0	         2	11.60
20181103-143539	  0	  0	         9	11.60
20181103-143544	  0	  0	         1	11.60
20181103-143549	  0	  0	         8	11.60
20181103-143554	  0	  0	         0	11.60
20181103-143559	  0	  0	        11	11.60
20181103-143604	  0	  0	         2	11.59
20181103-143609	  0	  0	        14	11.60
20181103-143614	  0	  0	         6	11.60
20181103-143619	  0	  0	         9	11.60
20181103-143624	  0	  0	         0	11.60
20181103-143629	  0	  0	         9	11.60
20181103-143634	  0	  0	         2	11.60
20181103-143639	  0	  0	        10	11.59
20181103-143644	  0	  0	         1	11.60
20181103-143649	  0	  0	         8	11.60
20181103-143654	  0	  0	         0	11.60
20181103-143659	  0	  0	         8	11.60
20181103-143704	  0	  0	         3	11.60
20181103-143709	  0	  0	        12	11.60
20181103-143714	  0	  0	         7	11.60
20181103-143719	  0	  0	         8	11.60
20181103-143724	  0	  0	         0	11.59
20181103-143729	  0	  0	         8	11.59
20181103-143734	  0	  0	         2	11.59
20181103-143739	  0	  0	         9	11.60
20181103-143744	  0	  0	         1	11.60
20181103-143749	  0	  0	         8	11.60
20181103-143754	  0	  0	         0	11.59
20181103-143759	  0	  0	         8	11.59
20181103-143804	  0	  0	         4	11.61
20181103-143809	  1	  0	        17	11.61
20181103-143814	  0	  0	        14	11.61
20181103-143819	  0	  0	         0	11.61
20181103-143824	  0	  0	         8	11.61
20181103-143829	  0	  0	         0	11.60
20181103-143834	  0	  0	        10	11.61
20181103-143839	  0	  0	         7	11.61
20181103-143844	  0	  0	         9	15.75
20181103-143849	 16	  0	         0	15.72
20181103-143854	 12	  0	        10	18.21
20181103-143859	 12	  0	        10	19.80
20181103-143904	 12	  0	        12	23.94
20181103-143909	 12	  0	         6	24.77
20181103-143914	 10	  0	        15	28.43
20181103-143919	 11	  0	         0	28.43
20181103-143924	 11	  0	        15	33.34
20181103-143929	 11	  0	         0	33.70
20181103-143934	 11	  0	        12	33.71
20181103-143939	 11	  0	         5	36.68
20181103-143944	 11	  0	        12	40.17
20181103-143949	 13	  0	         0	40.16
20181103-143954	 11	  0	        12	40.11
20181103-143959	 11	  0	         0	41.52
20181103-144004	 11	  0	        11	44.49
20181103-144009	 13	  0	         3	44.49
20181103-144014	 11	  0	        16	44.49
20181103-144019	 10	  0	         0	44.49
20181103-144024	 10	  0	        11	44.27
20181103-144029	  9	  0	         0	44.26
20181103-144034	  0	  0	        14	11.55
20181103-144039	  1	  0	         2	11.55
20181103-144044	  0	  0	        10	11.56
20181103-144049	  0	  0	         0	11.56
20181103-144054	  0	  0	         8	11.56
20181103-144059	  0	  0	         0	11.56
20181103-144104	  0	  0	        12	11.56
20181103-144109	  0	  0	         3	11.56
20181103-144114	  0	  0	        19	11.56
20181103-144119	  0	  0	         0	11.56
20181103-144124	  0	  0	         8	11.55
20181103-144129	  0	  0	         0	11.55
20181103-144134	  0	  0	        10	11.55
20181103-144139	  0	  0	         3	11.56
20181103-144144	  0	  0	        10	11.56
20181103-144149	  0	  0	         0	11.56
20181103-144154	  0	  0	         8	11.55
20181103-144159	  0	  0	         0	11.55
20181103-144204	  0	  0	        10	11.55
20181103-144209	  0	  0	         4	11.55
20181103-144214	  0	  0	        14	11.55
20181103-144219	  0	  0	         0	11.56
20181103-144224	  0	  0	         8	11.55
20181103-144229	  0	  0	         0	11.55
20181103-144234	  0	  0	        10	11.54
20181103-144239	  0	  0	         1	11.55
20181103-144244	  0	  0	         9	11.55
20181103-144249	  0	  0	         0	11.55
20181103-144254	  0	  0	         8	11.55
20181103-144259	  0	  0	         0	11.55
20181103-144304	  0	  0	        10	11.55
20181103-144309	  1	  0	         1	11.55
20181103-144314	  0	  0	        14	11.55
20181103-144319	  0	  0	         0	11.55
20181103-144324	  0	  0	         8	11.55
20181103-144329	  0	  0	         0	11.55
20181103-144334	  0	  0	        11	11.55
20181103-144339	  0	  0	         0	11.55
20181103-144344	  0	  0	        10	11.56
20181103-144349	  0	  0	         0	11.55
20181103-144354	  0	  0	         8	11.55
20181103-144359	  0	  0	         0	11.55
20181103-144404	  0	  0	        10	11.54
20181103-144409	  0	  0	         1	11.55
20181103-144414	  0	  0	        17	11.55
20181103-144419	  0	  0	         0	11.55
20181103-144424	  0	  0	         8	11.56
20181103-144429	  0	  0	         0	11.56
20181103-144434	  0	  0	        10	11.56
20181103-144439	  0	  0	         0	11.56
20181103-144444	  0	  0	        10	11.56
20181103-144449	  0	  0	         0	11.56
20181103-144454	  0	  0	         9	11.56
20181103-144459	  0	  0	         0	11.56
20181103-144504	  0	  0	        12	11.57
20181103-144509	  0	  0	         1	11.57
20181103-144514	  0	  0	        15	11.57
20181103-144519	  0	  0	         0	11.57
20181103-144524	  0	  0	         8	11.57
20181103-144529	  0	  0	         0	11.56
20181103-144534	  0	  0	        11	11.55
20181103-144539	  0	  0	         0	11.57
20181103-144544	  0	  0	        13	11.57
