TIME	LG1	AP2	MB1	MB2	MB3
20181103-142154	11.51	9.07	56.42	59.12	56.29
20181103-142159	11.52	9.07	56.42	59.12	56.29
20181103-142204	11.52	9.06	56.42	59.12	56.28
20181103-142209	11.52	9.07	56.43	59.12	56.29
20181103-142214	11.51	9.06	56.43	59.12	56.29
20181103-142219	11.52	9.07	56.42	59.12	56.28
20181103-142224	11.50	9.07	56.43	59.12	56.28
20181103-142229	11.50	9.06	56.43	59.12	56.29
20181103-142234	11.49	9.06	56.43	59.12	56.29
20181103-142239	11.49	9.06	56.43	59.13	56.29
20181103-142244	11.49	9.07	56.43	59.12	56.29
20181103-142249	11.49	9.08	56.43	59.11	56.29
20181103-142254	11.50	9.07	56.43	59.11	56.29
20181103-142259	11.49	9.07	56.43	59.12	56.30
20181103-142304	11.49	9.08	56.43	59.11	56.29
20181103-142309	11.49	9.07	56.43	59.12	56.29
20181103-142314	11.48	9.07	56.44	59.11	56.30
20181103-142319	11.49	9.07	56.43	59.11	56.30
20181103-142324	11.49	9.06	56.43	59.12	56.30
20181103-142329	11.49	9.06	56.42	59.11	56.29
20181103-142334	11.48	9.06	56.42	59.12	56.29
20181103-142339	11.48	9.07	56.43	59.12	56.29
20181103-142344	11.49	9.07	56.43	59.12	56.30
20181103-142349	11.50	9.06	56.43	59.11	56.30
20181103-142354	11.49	9.06	56.42	59.12	56.30
20181103-142359	11.49	9.06	56.43	59.12	56.29
20181103-142404	11.49	9.07	56.43	59.12	56.30
20181103-142409	11.49	9.08	56.43	59.12	56.30
20181103-142414	11.49	9.07	56.43	59.12	56.29
20181103-142419	11.49	9.07	56.42	59.12	56.28
20181103-142424	11.49	9.06	56.42	59.12	56.30
20181103-142429	11.49	9.06	56.42	59.12	56.29
20181103-142434	11.48	9.07	56.42	59.12	56.30
20181103-142439	11.48	9.07	56.43	59.11	56.29
20181103-142444	11.48	9.07	56.41	59.12	56.30
20181103-142449	11.49	9.07	56.43	59.12	56.29
20181103-142454	11.54	9.07	56.43	59.12	56.29
20181103-142459	11.53	9.07	56.43	59.13	56.30
20181103-142504	11.53	9.07	56.43	59.13	56.30
20181103-142509	11.53	9.07	56.42	59.12	56.30
20181103-142514	11.52	9.07	56.42	59.13	56.29
20181103-142519	11.52	9.07	56.43	59.12	56.29
20181103-142524	11.53	9.06	56.42	59.11	56.29
20181103-142529	11.53	9.06	56.43	59.11	56.29
20181103-142534	11.52	9.06	56.42	59.12	56.30
20181103-142539	11.51	9.06	56.43	59.12	56.28
20181103-142544	11.52	9.07	56.42	59.12	56.29
