TIME	LG1	AP2	MB1	MB2	MB3
20181103-143254	         0	     12694	         5	         9	         8
20181103-143259	         8	         0	         5	         7	         6
20181103-143304	         4	         1	         7	         5	         5
20181103-143309	        14	     11627	        16	        15	         6
20181103-143314	         6	         3	         9	        12	         9
20181103-143319	         8	         0	        13	        15	        20
20181103-143324	         0	         0	         5	        12	         7
20181103-143329	         8	         0	         5	         7	         5
20181103-143334	         2	         5	         5	         5	         7
20181103-143339	        11	         5	         9	        10	        10
20181103-143344	         1	     13465	        17	         5	         8
20181103-143349	         8	         0	        15	        13	        10
20181103-143354	         0	         0	         6	        11	         7
20181103-143359	         8	         0	         5	         7	         5
20181103-143404	         2	     12120	         5	         7	         5
20181103-143409	        14	     12073	        15	        19	        13
20181103-143414	         6	         3	        17	        12	         6
20181103-143419	         8	         0	         7	        13	        18
20181103-143424	         0	     13345	         5	         6	         8
20181103-143429	         9	     11815	         6	         9	         5
20181103-143434	         3	     12352	         5	         6	         5
20181103-143439	         9	     12573	         9	         7	         5
20181103-143444	         1	         3	        12	         5	        11
20181103-143449	         8	         0	        13	        17	        10
20181103-143454	         0	         0	         5	         6	         9
20181103-143459	         8	         0	         5	         7	         5
20181103-143504	         4	         0	         7	        10	         5
20181103-143509	        16	         0	        14	        13	         8
20181103-143514	         6	     12003	        15	        11	         6
20181103-143519	         8	     12520	         5	        15	        20
20181103-143524	         0	     12400	         5	        10	         5
20181103-143529	         8	     12622	         5	         7	         6
20181103-143534	         2	         1	         5	         5	         5
20181103-143539	         9	         4	        10	        15	        12
20181103-143544	         1	         4	        12	         5	         6
20181103-143549	         8	         0	        17	        11	        16
20181103-143554	         0	         0	         5	         9	         5
20181103-143559	        11	         0	         5	         7	         6
20181103-143604	         2	         0	         5	         9	         5
20181103-143609	        14	     12488	        14	        12	        10
20181103-143614	         6	         3	        20	        12	         5
20181103-143619	         9	         0	        15	        13	        21
20181103-143624	         0	         0	         5	         7	         8
20181103-143629	         9	         0	         5	         7	         5
20181103-143634	         2	     12509	         5	         9	         6
20181103-143639	        10	         5	         9	         6	         8
20181103-143644	         1	         3	        12	         7	         5
20181103-143649	         8	     12683	         8	         9	         9
20181103-143654	         0	         0	         5	         6	         8
20181103-143659	         8	         0	         5	         7	         8
20181103-143704	         3	         0	         5	         8	        10
20181103-143709	        12	         0	        18	        12	        17
20181103-143714	         7	         1	        15	        12	         5
20181103-143719	         8	     12657	         7	        16	        23
20181103-143724	         0	         0	         5	        10	         7
20181103-143729	         8	         0	         5	         7	         5
20181103-143734	         2	         1	         5	         8	         9
20181103-143739	         9	     12722	         8	         5	         6
20181103-143744	         1	     13091	        12	         5	         5
20181103-143749	         8	         3	        15	        12	        10
20181103-143754	         0	         0	         6	        12	         7
20181103-143759	         8	     12255	         5	         9	         5
20181103-143804	         4	         1	         5	         5	        11
20181103-143809	        17	         0	        17	        13	        15
20181103-143814	        14	         2	        15	        12	         5
20181103-143819	         0	         2	         6	        13	        21
20181103-143824	         8	         0	         5	         6	         7
20181103-143829	         0	         0	         7	         9	         5
20181103-143834	        10	     12701	         5	         5	         9
20181103-143839	         7	         5	        11	         5	        10
20181103-143844	         9	         1	        12	         5	         6
20181103-143849	         0	         1	         8	        10	        10
20181103-143854	        10	         0	         5	         6	         8
20181103-143859	        10	         0	         5	        11	         5
20181103-143904	        12	         1	         7	         7	        10
20181103-143909	         6	         0	        15	        12	        17
20181103-143914	        15	         1	        14	        12	         5
20181103-143919	         0	        10	         5	        17	        22
20181103-143924	        15	     28714	         5	        10	         7
20181103-143929	         0	         0	         5	         9	         5
20181103-143934	        12	     29293	         5	         6	         9
20181103-143939	         5	         6	        15	         8	        13
20181103-143944	        12	     28637	        11	         7	         5
20181103-143949	         0	     26283	         6	        18	        13
20181103-143954	        12	     26534	         5	        13	         7
20181103-143959	         0	         1	         5	         7	         7
20181103-144004	        11	         3	         8	         7	         6
20181103-144009	         3	     28681	        16	        12	        10
20181103-144014	        16	         2	        19	        14	         5
20181103-144019	         0	         3	        10	        11	        20
20181103-144024	        11	         0	         5	         6	         9
20181103-144029	         0	         0	         5	         9	         7
20181103-144034	        14	         3	         8	         6	         6
20181103-144039	         2	         5	         8	         9	        10
20181103-144044	        10	         1	        11	         8	         5
20181103-144049	         0	         3	         7	        10	        12
20181103-144054	         8	         2	         5	         9	        16
20181103-144059	         0	         0	         5	         7	         6
20181103-144104	        12	         1	         7	         7	         8
20181103-144109	         3	     10842	        15	        13	        17
20181103-144114	        19	     12702	        14	        12	         5
20181103-144119	         0	     12827	        11	        17	        16
20181103-144124	         8	         0	         5	        11	         7
20181103-144129	         0	         0	         5	         7	         8
20181103-144134	        10	         6	         7	         5	         7
20181103-144139	         3	         5	         8	         6	        13
20181103-144144	        10	         1	         9	         5	         6
20181103-144149	         0	         2	         7	        12	         9
20181103-144154	         8	         0	         8	        15	        16
20181103-144159	         0	         0	         6	         5	         5
20181103-144204	        10	         1	         5	         7	         8
20181103-144209	         4	         0	        14	        12	        12
20181103-144214	        14	         2	        15	        12	         5
20181103-144219	         0	         2	        10	        10	        16
20181103-144224	         8	         0	         5	        10	         9
20181103-144229	         0	     11806	         8	         7	         6
20181103-144234	        10	         1	         6	         7	         7
20181103-144239	         1	         5	         8	         5	         7
20181103-144244	         9	     12932	         8	         5	         6
20181103-144249	         0	         2	         8	        12	         8
20181103-144254	         8	     12575	         5	        20	        16
20181103-144259	         0	         0	         8	         5	         5
20181103-144304	        10	         1	         7	         9	         8
20181103-144309	         1	         0	        14	        12	        17
20181103-144314	        14	         1	        14	        12	         6
20181103-144319	         0	         2	         5	        11	        14
20181103-144324	         8	         0	         5	        20	         9
20181103-144329	         0	         0	         7	         5	         5
20181103-144334	        11	         6	         5	         7	         8
20181103-144339	         0	         5	        10	         8	         5
20181103-144344	        10	         1	         9	         5	         6
20181103-144349	         0	         2	         6	        12	         8
20181103-144354	         8	         0	         5	         7	        15
20181103-144359	         0	     11794	         7	        12	         5
20181103-144404	        10	         1	         5	         7	         8
20181103-144409	         1	         0	        15	        12	        12
20181103-144414	        17	         2	        17	        14	         6
20181103-144419	         0	         0	        10	        13	        17
20181103-144424	         8	         0	         5	         7	        10
20181103-144429	         0	         0	         7	        12	         5
20181103-144434	        10	         8	         5	         7	         6
20181103-144439	         0	         5	         9	         5	         5
20181103-144444	        10	         1	         7	         9	         5
20181103-144449	         0	         0	        14	        17	        12
20181103-144454	         9	         0	         7	         7	         7
20181103-144459	         0	         0	         5	        18	         5
20181103-144504	        12	         2	         5	         7	         6
20181103-144509	         1	         0	        16	        12	         5
20181103-144514	        15	         1	        10	        12	        17
20181103-144519	         0	         0	        11	        18	        20
20181103-144524	         8	         0	         7	         7	        12
20181103-144529	         0	         0	         7	        15	         5
20181103-144534	        11	         2	         5	         8	         6
20181103-144539	         0	         5	         9	         8	         5
20181103-144544	        13	         1	         6	         9	        13
20181103-144549	         0	         0	         8	        10	        14
20181103-144554	         9	         0	         9	         9	         7
20181103-144559	         0	         0	         5	        12	         7
20181103-144604	        10	         1	         5	         9	         7
20181103-144609	         1	         0	        14	        12	         5
20181103-144614	        14	         1	        10	        14	        10
20181103-144619	         0	         0	        16	        10	        20
20181103-144624	         8	         0	         8	         7	         8
20181103-144629	         0	         0	         6	         7	         5
20181103-144634	        12	         1	         5	         7	         9
20181103-144639	         1	         5	         8	         5	         5
20181103-144644	        10	         2	         7	        11	         7
20181103-144649	         0	         0	        11	        10	        11
20181103-144654	         8	         0	        12	        15	         7
20181103-144659	         0	         0	         5	        27	        10
20181103-144704	        12	         1	         7	        11	         6
20181103-144709	         1	         0	        15	        16	         8
20181103-144714	        17	         1	        11	        14	        17
20181103-144719	         0	         0	        19	        11	        23
20181103-144724	         8	         0	         8	        11	         7
20181103-144729	         0	         0	         6	        11	         5
20181103-144734	        12	         2	         5	         9	         5
20181103-144739	         0	         6	        10	        38	        11
20181103-144744	        10	         2	         6	         5	        20
20181103-144749	         0	         0	        13	        10	         9
20181103-144754	         8	         0	         5	         7	         7
20181103-144759	         0	         0	         6	        16	         6
20181103-144804	        13	         3	         5	         5	         5
20181103-144809	         1	     12437	        15	        16	         9
20181103-144814	        15	         1	        13	        14	        20
20181103-144819	         0	     12691	        16	        10	        22
20181103-144824	         8	         7	         5	         7	         8
20181103-144829	         0	         0	         5	        10	         5
20181103-144834	        10	     12784	         5	         8	         5
20181103-144839	         1	        11	         8	         7	         6
20181103-144844	        12	     12800	        13	         8	         8
20181103-144849	         0	         0	        23	         8	        13
20181103-144854	         8	         2	         5	         7	         7
20181103-144859	         0	         3	         8	        11	         6
20181103-144904	        10	     13685	         5	         7	         5
20181103-144909	         0	     13198	        15	        13	         6
20181103-144914	        14	         2	        11	        11	        18
20181103-144919	         0	         2	        43	        14	        15
20181103-144924	         8	         2	         8	         7	        12
20181103-144929	         0	     13742	         7	         7	         5
20181103-144934	        10	         2	         6	         5	         7
20181103-144939	         0	        10	         8	         7	         7
20181103-144944	        10	     12928	         7	         7	         7
20181103-144949	        10	         2	        18	        16	        10
20181103-144954	        10	         2	         8	        11	         7
20181103-144959	         0	         2	        10	         7	         5
20181103-145004	        14	         2	         5	         5	         7
20181103-145009	         9	         2	        15	        14	         7
20181103-145014	        14	     13520	         7	        13	        10
20181103-145019	        12	         1	        23	        11	        22
20181103-145024	         0	         2	         8	         7	         8
20181103-145029	        10	         2	         5	        14	         6
20181103-145034	         2	         1	         6	         5	         5
20181103-145039	         9	     12112	         9	        12	         7
20181103-145044	         5	         2	         6	         5	         8
20181103-145049	        11	         0	        15	         8	        12
20181103-145054	         0	         0	         5	        10	         7
20181103-145059	         8	     12534	         5	        15	         7
20181103-145104	         2	         0	         7	         7	         5
20181103-145109	         9	         2	        15	        14	         9
20181103-145114	        13	         4	        10	        10	        17
20181103-145119	         8	     12765	        20	        13	        19
20181103-145124	         0	         0	         5	         9	         7
20181103-145129	        10	     12772	         5	        12	         5
20181103-145134	         2	     12207	         5	         6	         7
20181103-145139	         9	         6	        11	         9	         6
20181103-145144	         3	         4	         6	         5	         7
20181103-145149	         9	         0	        13	        10	         7
20181103-145154	         0	         0	         5	        10	         7
20181103-145159	         8	         0	         5	        19	         5
20181103-145204	         2	         0	         6	         7	         5
20181103-145209	         8	         3	        14	        13	        11
20181103-145214	        17	         1	        13	        15	        15
20181103-145219	        12	         0	        10	        10	        19
20181103-145224	         0	         1	         5	         9	         8
20181103-145229	        10	         0	         6	        15	         5
20181103-145234	         3	         0	         5	         5	         5
20181103-145239	        10	        12	        10	         7	        11
20181103-145244	         2	         1	        11	         9	        12
20181103-145249	         8	         0	        25	         9	         7
20181103-145254	         0	         0	         5	         8	         7
20181103-145259	         8	         0	         5	        12	         5
20181103-145304	         2	         2	         5	         7	         5
20181103-145309	         8	         1	        15	        13	        11
20181103-145314	         9	         2	        10	        11	        19
20181103-145319	         9	         0	        14	        15	        21
20181103-145324	         0	         0	         6	         9	         7
20181103-145329	         8	         0	         5	        12	         5
20181103-145334	         2	         0	         5	         5	         5
20181103-145339	         8	        10	         9	         7	        10
20181103-145344	         3	         1	         8	         6	        13
20181103-145349	         8	         0	        16	        14	         9
20181103-145354	         0	         0	         5	         9	         7
20181103-145359	         8	         0	         7	        19	         5
20181103-145404	         3	         0	         5	         5	         7
20181103-145409	         8	         1	        15	        14	         7
20181103-145414	        10	         1	        11	        14	        10
20181103-145419	         8	         0	        11	        13	        19
20181103-145424	         0	         0	         5	         5	        10
20181103-145429	         8	         0	         5	        19	         5
20181103-145434	         2	         0	         7	         5	         7
20181103-145439	         8	         8	         9	         7	         7
20181103-145444	         2	         1	         9	         6	        10
20181103-145449	         9	         0	        18	        18	         7
