TIME	CPU	WCPU	IO	MEM
20181103-142734	  1	  0	         5	56.30
20181103-142739	  0	  0	         7	56.31
20181103-142744	  2	  0	        11	56.32
20181103-142749	  1	  0	        11	56.33
20181103-142754	  1	  0	         8	56.32
20181103-142759	  0	  0	         5	56.32
20181103-142804	  1	  0	         5	56.32
20181103-142809	  1	  0	         5	56.32
20181103-142814	  0	  0	         9	56.32
20181103-142819	  1	  0	        10	56.32
20181103-142824	  3	  0	        11	56.32
20181103-142829	  0	  0	         5	56.31
20181103-142834	  1	  0	         5	56.31
20181103-142839	  1	  0	        10	56.30
20181103-142844	  1	  0	        10	56.31
20181103-142849	  1	  0	         8	56.31
20181103-142854	  0	  0	         8	56.31
20181103-142859	  1	  0	         6	56.31
20181103-142904	  1	  0	         5	56.32
20181103-142909	  1	  0	        17	56.31
20181103-142914	  1	  0	         9	56.31
20181103-142919	  1	  0	        18	56.31
20181103-142924	  1	  0	         7	56.31
20181103-142929	  0	  0	         5	56.31
20181103-142934	  1	  0	         6	56.31
20181103-142939	  1	  0	         6	56.31
20181103-142944	  1	  0	        12	56.30
20181103-142949	  1	  0	         7	56.31
20181103-142954	  1	  0	         7	56.31
20181103-142959	  0	  0	         5	56.31
20181103-143004	  1	  0	         5	56.30
20181103-143009	  0	  0	        15	56.30
20181103-143014	  1	  0	         9	56.31
20181103-143019	  1	  0	        21	56.31
20181103-143024	  1	  0	         9	56.31
20181103-143029	  0	  0	         5	56.31
20181103-143034	  1	  0	         5	56.31
20181103-143039	  0	  0	         5	56.31
20181103-143044	  2	  0	        15	56.31
20181103-143049	  1	  0	         6	56.31
20181103-143054	  0	  0	         8	56.31
20181103-143059	  1	  0	         5	56.31
20181103-143104	  1	  0	         5	56.31
20181103-143109	  0	  0	        17	56.31
20181103-143114	  1	  0	        14	56.31
20181103-143119	  1	  0	        20	56.31
20181103-143124	  1	  0	         7	56.31
20181103-143129	  0	  0	         5	56.31
20181103-143134	  1	  0	         5	56.32
20181103-143139	  1	  0	        13	56.30
20181103-143144	  2	  0	        11	56.31
20181103-143149	  1	  0	         9	56.31
20181103-143154	  1	  0	         7	56.31
20181103-143159	  1	  0	         5	56.31
20181103-143204	  0	  0	         5	56.31
20181103-143209	  1	  0	         8	56.31
20181103-143214	  1	  0	        12	56.31
20181103-143219	  1	  0	        16	56.30
20181103-143224	  1	  0	         9	56.31
20181103-143229	  1	  0	         5	56.31
20181103-143234	  1	  0	         5	56.31
20181103-143239	  1	  0	         5	56.30
20181103-143244	  2	  0	        13	56.31
20181103-143249	  1	  0	         6	56.31
20181103-143254	  1	  0	         8	56.31
20181103-143259	  1	  0	         6	56.31
20181103-143304	  1	  0	         5	56.32
20181103-143309	  0	  0	         6	56.32
20181103-143314	  1	  0	         9	56.32
20181103-143319	  1	  0	        20	56.31
20181103-143324	  1	  0	         7	56.31
20181103-143329	  0	  0	         5	56.31
20181103-143334	  1	  0	         7	56.31
20181103-143339	  1	  0	        10	56.31
20181103-143344	  2	  0	         8	56.31
20181103-143349	  1	  0	        10	56.31
20181103-143354	  1	  0	         7	56.31
20181103-143359	  1	  0	         5	56.31
20181103-143404	  1	  0	         5	56.31
20181103-143409	  0	  0	        13	56.31
20181103-143414	  1	  0	         6	56.31
20181103-143419	  1	  0	        18	56.31
20181103-143424	  0	  0	         8	56.31
20181103-143429	  0	  0	         5	56.31
20181103-143434	  1	  0	         5	56.31
20181103-143439	  1	  0	         5	56.31
20181103-143444	  2	  0	        11	56.32
20181103-143449	  1	  0	        10	56.31
20181103-143454	  1	  0	         9	56.31
20181103-143459	  1	  0	         5	56.31
20181103-143504	  1	  0	         5	56.31
20181103-143509	  0	  0	         8	56.31
20181103-143514	  1	  0	         6	56.31
20181103-143519	  1	  0	        20	56.31
20181103-143524	  1	  0	         5	56.31
20181103-143529	  1	  0	         6	56.31
20181103-143534	  1	  0	         5	56.31
20181103-143539	  0	  0	        12	56.31
20181103-143544	  2	  0	         6	56.32
20181103-143549	  1	  0	        16	56.31
20181103-143554	  1	  0	         5	56.31
20181103-143559	  0	  0	         6	56.31
20181103-143604	  1	  0	         5	56.31
20181103-143609	  1	  0	        10	56.32
20181103-143614	  1	  0	         5	56.32
20181103-143619	  1	  0	        21	56.31
20181103-143624	  1	  0	         8	56.32
20181103-143629	  0	  0	         5	56.31
20181103-143634	  1	  0	         6	56.32
20181103-143639	  1	  0	         8	56.31
20181103-143644	  2	  0	         5	56.32
20181103-143649	  1	  0	         9	56.31
20181103-143654	  1	  0	         8	56.32
20181103-143659	  1	  0	         8	56.31
20181103-143704	  1	  0	        10	56.31
20181103-143709	  1	  0	        17	56.32
20181103-143714	  0	  0	         5	56.32
20181103-143719	  1	  0	        23	56.32
20181103-143724	  0	  0	         7	56.32
20181103-143729	  1	  0	         5	56.31
20181103-143734	  1	  0	         9	56.32
20181103-143739	  0	  0	         6	56.31
20181103-143744	  2	  0	         5	56.32
20181103-143749	  1	  0	        10	56.31
20181103-143754	  0	  0	         7	56.32
20181103-143759	  0	  0	         5	56.31
20181103-143804	  1	  0	        11	56.32
20181103-143809	  1	  0	        15	56.31
20181103-143814	  1	  0	         5	56.31
20181103-143819	  1	  0	        21	56.31
20181103-143824	  0	  0	         7	56.32
20181103-143829	  0	  0	         5	56.31
20181103-143834	  1	  0	         9	56.32
20181103-143839	  0	  0	        10	56.31
20181103-143844	  2	  0	         6	56.32
20181103-143849	  1	  0	        10	56.32
20181103-143854	  1	  0	         8	56.32
20181103-143859	  1	  0	         5	56.31
20181103-143904	  1	  0	        10	56.32
20181103-143909	  1	  0	        17	56.32
20181103-143914	  1	  0	         5	56.31
20181103-143919	  1	  0	        22	56.31
20181103-143924	  1	  0	         7	56.32
20181103-143929	  1	  0	         5	56.31
20181103-143934	  1	  0	         9	56.32
20181103-143939	  1	  0	        13	56.31
20181103-143944	  2	  0	         5	56.31
20181103-143949	  1	  0	        13	56.31
20181103-143954	  1	  0	         7	56.32
20181103-143959	  1	  0	         7	56.32
20181103-144004	  1	  0	         6	56.32
20181103-144009	  1	  0	        10	56.32
20181103-144014	  1	  0	         5	56.33
20181103-144019	  1	  0	        20	56.32
20181103-144024	  1	  0	         9	56.32
20181103-144029	  1	  0	         7	56.31
20181103-144034	  1	  0	         6	56.32
20181103-144039	  0	  0	        10	56.71
20181103-144044	  2	  0	         5	56.31
20181103-144049	  1	  0	        12	56.32
20181103-144054	  0	  0	        16	56.32
20181103-144059	  0	  0	         6	56.31
20181103-144104	  1	  0	         8	56.31
20181103-144109	  1	  0	        17	56.32
20181103-144114	  0	  0	         5	56.32
20181103-144119	  1	  0	        16	56.31
20181103-144124	  1	  0	         7	56.32
20181103-144129	  1	  0	         8	56.32
20181103-144134	  1	  0	         7	56.32
20181103-144139	  1	  0	        13	56.35
20181103-144144	  2	  0	         6	56.35
20181103-144149	  1	  0	         9	56.34
20181103-144154	  1	  0	        16	56.34
20181103-144159	  0	  0	         5	56.34
20181103-144204	  1	  0	         8	56.34
